,database ID|Category|Item Name|Quality|Quantity|GBP|USD|AUD|Description|Notes|Colour|Physical|Supplier|URL|Image|GBP notes|USD notes|AUD notes
,oZ6RCxTK6pi2XYa9OvCQ||Dartboard with Cabinet|Mid Range|||||Dartboard weight 7.8lbs and is 18" in diameter and 1"thick||||Profiled Ink||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5d491fecea16617e417ea872/1e377c502ae9bc3614d810e2c38238c6/cabinet_mass_pix_4.jpg|||
,kVEmc18GE0HkBZCNs4ie||||1|399|179|329||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,5L1bPhk7gESvGACnmDiR||||25|168|169|309||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,XtWGZK9rfU5sRTeo8u9Q||||50|143|159|279||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,FhmCdmmjbm9rtshTmrMg||||100|129|149|249||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,dWgN5c5bH1JW2BISOhnk||||250|119|139|199||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,85CH5EXXlM2DLwVUaPrQ||||500|99|129|189||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,oFBpKk04H4yO3LUYtsfQ|AFL Balls|||||||Australian Football League Balls|Our AFL balls range from promotional quality to match usage. All balls come with Latex Bladders (High retention Bladders are available at an extra cost). Full descriptions below.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0018_AFL_720x.jpg?v=1577933196|||
,PqsutvhTQ7EHu4DuGRXK||Promo Quality|Low Range|||||PVC Promotional Quality AFL Ball|4 Panel Construction. Up to 10 spot colour design. Product Dimensions; 36 - 37cm length, 58 - 60cm circumference. Product Weight; 370 - 390g. Outer Material; TPVC (Gloss), PVC (Satin) and PVC (Foamy) (Phthalate free PVC also available). Lining; 2 Layer cotton/polyester cross lamination for perfect shape retention|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0018_AFL_720x.jpg?v=1577933196|||
,LRLcBbcKdRDILK0rAfGs||||1|59|99|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,AvHUS2fkAVGR9xfDy4AF||||25|13.69|17.49|24.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,gOJVr0d0IBwCD3PjliAH||||50|10.95|13.95|19.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,EzXEes1pdtbZO5QO6eMt||||100|9.95|12.44|17.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,9LkxltRvKu01AVfTlCQQ||||250|9.29|11.86|16.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,ulyeurbJak3Q6ljyx5sx||||500|7.89|10.09|13.88||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,f0G5dek2CZ0VNcsD0LJZ||Match Quality|High End|||||Match Quality AFL Balls|4 Panel Construction. Up to 10 spot colour design. Product Dimensions; 36 - 37cm length, 58 - 60cm circumference. Product Weight; 440 - 450g. Outer Material; Top Grade, or Eco Quality Pimpled Grain Rubber. Lining; 3 Layers cross lamination for perfect shape retention||||||||
,z7iwokfLB6YmMIPsz1sh||||1|59|99|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,GaIfcgYxSiZBfW8aFahh||||25|17.99|21.76|29.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,0vd5UMIgiaHAWErNlbQy||||50|14.69|18.78|25.86||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,IsgC6IMXRR9xHxYF27ED||||100|13.69|17.46|24.09||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,qlnVG2crNkiYBjeFvwCE||||250|12.64|16.14|22.24||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,rZ8tGsekkC1lZejYfIMN||||500|11.59|14.79|20.37||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,fpGMAd6tYmnCdOkUsCjG||Training Quality|Mid Range|||||Training Quality AFL Balls|4 Panel Construction. Up to 10 spot colour design. Product Dimensions; 36 - 37cm length, 58 - 60cm circumference. Product Weight; 380 - 410g. Outer Material; Top Grade, or Eco Quality Pimpled Grain Rubber. Lining; 2 Layers cross lamination for perfect shape retention.||||||||
,8GFNtqnahvujzgCo8gVZ||||1|59|99|129||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,LWnJrQ3EoB4ZubDpfYyQ||||25|16.78|21.44|29.54||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,OjaT5FCM33L0IVMkk7RK||||50|13.27|16.95|23.39||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,v3maAs4JihTw3uaMQSVW||||100|12.49|15.39|21.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,VDNlnJ5abdF3jqndhVLx||||250|11.49|14.09|19.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,H0zieEzvYLnHb0Qlj8Gu||||500|10.49|12.81|17.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,omz9JD71tgCtwlv5wTrO|Helmets|||||||Helmets can be decaled in the USA for smaller quantities and then any type of helmets can be done overseas for larger quantities.||||||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5e28dae96793172ed12581a4/46bb14809def24bfc12c9315a21612ca/Resized_20200221_163058.jpeg|||
,NIFKtXbLFeJ9149x9JAG||BMX|Mid Range|||||||||||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5e28dae96793172ed12581a4/46bb14809def24bfc12c9315a21612ca/Resized_20200221_163058.jpeg|||
,Jpch8VBdvuM4w6zH1hHw||||1|154|195|279||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,XeJfnt4BfxAsmlubxFVC||||25|79|99|139||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,VRgh1qHIXR2ZjKiK6ekr||||50|75|94|132||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,V3WfU0TfJUY8D6LV6Xaz||||100|69|89|125||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mlQp6HW5L60GXFbJxkiq||||250|29|39|59||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,hx2UB6KZ3skTEhjYao6r||||500|26|32|45||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,UudzNdDeWxo4XwfYmj03||Mountain/Grated|Mid Range|||||||||||https://static.evanscycles.com/production/helmets--protection/bike-helmets/product-image/969-638/fwe-ltr-helmet-yellow-EV291974-1000-1.jpg|||
,U1Y7l7ZjcFP0JsEpCLqe||||1|198|249|354||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,eAwislpNQeqm9AH8p9ZU||||25|89|109|159||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,6PiNwNctF3PBY93Xl41V||||50|84|104|149||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,bAO66tICGyac5Nqh0MVN||||100|79|99|139||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,rabAC658J6CS14dcNV7A||||250|39|49|69||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,pl7QjGME3PJN5sAZ8bxG||||500|33.5|42|59||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,pmeHNViCuu3gmeOvKKFC|Scooters|||||||We can custom brand both the foot board and the handle bar shaft. For an additional price, we can spray the scooter to PMS match almost any color.||||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0032_Scooter_720x.jpg?v=1577933164|||
,xz819jo4A4R2Gf5GiyV6||Push scooters|Mid range|||||Upgrade to customize the wheels and grips.||PMS (scooter) match available for an additional price.  The logo can be full color.|Typically using scooters like razor brand or similar but are unbranded when sold.|Razor Image||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0032_Scooter_720x.jpg?v=1577933164|||
,IoMeUdT7bQVa5EZKdRku||||1|174|199|299||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,nZKNgHfFsIYbOnNkdPlQ||||25|1139|169|209||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,iEw0H5CgMhciBStato2m||||50|99|139|174||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,9y6c23kR96LDGiczt9OC||||100|89|89|159||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Xjht4bI0AJzbBLoysBM8||||250|74|74|94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,ufvO8LIcmr5IkIaJsXZ9||||500|64|64|114||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,qLb6phGSyXyuQBXieb1O|Kites|||||||Many Kites available in China|||||||||
,R3gXXIKEWBwnriaK1JM0||Promo Product|Promo|||||Most materials are a Nylon or a Polyester.|Many shapes and colors available||Most require a high MOQ for anything custom.  Please put a card in QMH.||||||
,HUWpDpDCDpfifqrrF8RV||||1|79|99|139||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Mye2NqaiFXgbqZgw9xAB||||25|69|89|125||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,djvy8gtnJRtf4EyFgR85||||50|63|79|109||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,NKCQ2qQ3NKOVaMHy0fsL||||100|52|65|89||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mowb55TElpGVZLqrWbhS||||250|45|56|79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,ZykT5UwtQOjfFpNDjzpG||||500|35|44|59||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,qXNxxrgY5YQkw745QS0U|SURF BOARDS|||||||Surfboards|Looking for an epic Surfboard? Our surfboards are used on waves all over the world and can be found in many retail stores. Our premium locally made surfboards are athlete ready and includes full design on a single side; optional second side design. Our Surfboard is Athlete ready and used by both professionals and weekend warriors. You’ll find these boards in retail and rental stores around the world. They include full digital printed design on a single side; optional second side design. This is ideal for high end activation’s, loaders, giveaways and for shooting with athletes. Made from the very best materials locally, all of our surfboards are shaped locally by shapers with over 30 years of experience.|||||https://i.imgur.com/uI8z2W4.png|||
,5r7Mp8LtqMyCYb2NHzgk||Promotional (Foam)|Soft top 72"|||||Promotional quality surfboard, not for high usage|Soft-Top Surfboards provide that real Surfboard illusion for any fun promotional event without breaking the Budget. Minimum Order: 1  Lead-time: 1-3 Days. Dimensions: 72” X 20”     Weight: 10lbs (GW)     Materials:  Top: XPE Top  Core: EPS Core w/ 2 Wood Stringers  Bottom: HDPE Bottom. Graphic Type: Full Color Vinyl Graphic with UV Laminate.  Dry Erase or Chalk Surfaces Available.|||||https://trello-attachments.s3.amazonaws.com/5e1dfa57e6c4aa56eb49b627/1199x718/2d98433fbdc6515a50d68b98e55f8b41/Wood_Display_Surf_Stand_-_MDF.jpg|||
,CBi9IFMdrKJmKWc2elOU||||1|0|549|0||||||||Not yet availble in this qty||Not yet availble in this qty
,6W1xxLoJUyZ4tBHONmel||||25|0|449|0||||||||Not yet availble in this qty||Not yet availble in this qty
,Y6hRYbhZesNCxa144wYr||||50|0|399|0||||||||Not yet availble in this qty||Not yet availble in this qty
,4zHkW0L1DoJHEYuDNlGN||||100|259|349|495||||||||||
,IcER8cqG5Fdb2KaI8l2b||||250|249|339|449||||||||||
,WirrnTPTXHP9BgsiHQOF||||500|219|249|409||||||||||
,QXBBqFXi0GeoR8IRwy1R||Full Custom Double Side|High End|||||High quality fully useable Surfboard - Custom graphics both sides|Hand-made surfboards.  Printing Technique;  We apply your design to a thin cotton fabric using a digital print. We utilize this method to give you option to be able to print anything to go on your surfboard including photos, illustrations.. This is ideal for high-end activations, loaders, giveaways and for shooting with athletes. Made from the very best materials locally, all of our surfboards are shaped locally by shapers with over 30 years of experience. • Foam Core - Pu/EPS • Fiber Glass - 4oz/6oz/10oz • Resin - PE/Epoxy. Can be created in any shape and size up to 6'4' x20"x2".  Each board weighs about 8lbs when completed.|Any colour||||https://trello-attachments.s3.amazonaws.com/5e063898bff8c722aa979b72/1200x1600/f94c065aec208b612906cb6852ae7851/IMG_2576.jpeg.jpg|||
,ZaFO8LwItshl3slvC4fv||||1|499|749|799||||||||||
,XUUU1MGZJUllVjqmWNE3||||25|424|649|699||||||||||
,8mf1xCcwf5OJZapG0Bsg||||50|404|599|679||||||||||
,6npluwD6Hydj81XSEb4p||||100|374|549|649||||||||||
,maZKYFwYIr0CqHIawGsv||||250|334|489|599||||||||||
,alaIRxwkZ3P7ANPgvObb||||500|291|399|524||||||||||
,WOudye9cKMQIpcb48LVY||Single side longboard|High End|||||High quality fully useable Surf longboard - Custom graphics 1 side|Hand-made surf longboards. Athlete ready and used by both professionals and weekend warriors. You’ll find these boards in retail and rental stores around the world. They include full digital printed design on a single side. This is ideal for high-end activations, loaders, giveaways and for shooting with athletes. Made from the very best materials locally, all of our surfboards are shaped locally by shapers with over 30 years of experience. • Foam Core - Pu/EPS • Fiber Glass - 4oz/6oz/10oz • Resin - PE/Epoxy We apply your design to a thin cotton fabric using a digital print. We utilise this method to give you option to be able to print anything to go on your surfboard including, photos, illustrations. Can be created in any shape and size up to 10' x30"x2.5". Each board weighs about 8lbs when completed||||||||
,Iaj0WDIYJufiGm05A64u||||1|674|884|999||||||||||
,rylV9jlpuJtHEst9Hhk4||||25|624|759|899||||||||||
,ooC52jT2gG4HTe0MbvHQ||||50|604|739|879||||||||||
,yFhwsGCCyqya0zdqPeOp||||100|574|394|849||||||||||
,srB0vz3VIogLhVpZdU9T||||250|534|669|799||||||||||
,sHaK6us4xuTTlVVD6kHI||||500|491|579|724||||||||||
,qwm9I6OZIchr0YUoOeY6||Full Custom Single Side|High End|||||High quality fully useable Surfboard - Custom graphics 1 side|Hand-made surfboards.  Printing Technique;  We apply your design to a thin cotton fabric using a digital print. We utilize this method to give you option to be able to print anything to go on your surfboard including photos, illustrations.. This is ideal for high-end activations, loaders, giveaways and for shooting with athletes. Made from the very best materials locally, all of our surfboards are shaped locally by shapers with over 30 years of experience. • Foam Core - Pu/EPS • Fiber Glass - 4oz/6oz/10oz • Resin - PE/Epoxy. Can be created in any shape and size up to 6'4' x20"x2".  Each board weighs about 8lbs when completed.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-164_Web_720x.jpg?v=1578646085|||
,u37R2OqyiffHqU1dw7Bg||||1|449|699|749||||||||||
,OI2qxRL8OQivmER7HtRD||||25|399|599|649||||||||||
,g3BvLu2ilQemQexNUIiW||||50|379|549|629||||||||||
,i9lTASXzil7Gvr7v1yEc||||100|349|499|599||||||||||
,PUP9BRh9rI71bl2yX96x||||250|309|439|549||||||||||
,WpKsoshl8yzXA3xYkcur||||500|269|349|474||||||||||
,qvoEWVRNoU4ooKZ11kA8|Basket Balls|||||||Basketballs|Our Basketballs are available in trainer and match  quality. Both options of balls are made from synthetic rubber, and a  pimpled grain Surface. Full descriptions below.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0030_basketball_720x.jpg?v=1577933200|||
,AA4SW95CZcchx3vwyRt6||Match Quality|High End|||||Match Quality Basketballs|Up to 10 spot colour design. Product dimensions; 74 x 78cm circumference. Product weight; 530 - 590g. Cotton/polyester cross lamination for perfect shape retention. 2 layer Butyl bladder for high air retention.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0030_basketball_720x.jpg?v=1577933200|||
,R4SglZ9KTE8EjpIMIKnY||||1|99|139|180||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,krD4ci81Y32cdcz4AR6i||||25|26.64|34.95|47.12||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,XNXSXGVQpynDL3UQhhM1||||50|24.29|31.89|42.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,9zmS9tOD89rvsKgzsLNQ||||100|22.24|29.19|39.35||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,RIoTdA0KUGWtzQrkseKr||||250|18.64|24.45|32.96||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,DVSrK5rL63lKjgStmldU||||500|16.37|21.49|28.96||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,LQvNcVfcXDOSX976KWnF||Training Quality|Mid Range|||||Training Quality Basketballs|Up to 10 spot colour design. Product dimensions; 74 x 78cm circumference. Product weight; 570 - 620g. Cotton/polyester cross lamination for perfect shape retention. Butyl bladder for high air retention.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/0030_basketball_720x.jpg?v=1577933200|||
,2bP1I1pnkmR0sdn326AG||||1|99|139|180||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,T9OFR6lW3Mb63E7fY2ap||||25|17.89|23.49|31.65||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Ex1ambIdEv1byniIIUke||||50|15.46|20.29|27.34||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Qrv6U4T3sRumeqWuOyFi||||100|13.86|18.19|24.52||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,2JAuCfXM7rdKqYa0y1wQ||||250|11.39|14.95|20.15||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,mSSVLRTU7hzacl9WAV6D||||500|9.59|12.59|16.97||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,uhXKOVnqJZDdqQZ4759b|Resistance Bands||||||||Loops are perfect for personal training and for use in fitness clubs and home gyms. Different resistance levels for any user, whether you are an experienced athlete or just beginning fitness training. Ideal for short, limited movements. Fits comfortably around the upper and lower legs and allows users to work the hip and leg muscles.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Resistance-Bands_720x.png?v=1577933214|||
,TkezslgK7pOEq1AHW7JZ||600*50*0.70 mm|Medimum|||||TPE and Latex available|Plastic zip bag with logo available for larger quantities|Yellow 15lbs and Red is 20lbs|MOQ is 2000 to customize the band, ink or resistance level.|Dean-Fuqing Shengde Plastic & Rubber Products Co., Ltd.||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Resistance-Bands_720x.png?v=1577933214|||
,zaWB3vQLwY4TxRn8rRys||||1|35.95|44.95|64.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,2g21MCAcXe3RqARau60s||||25|11.95|15.29|21.19||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,vZblrRj8WAvXd9bXse9b||||50|5.95|7.64|10.54||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,1M3XrebF3w4lqUitLL5t||||100|5.19|6.64|9.19||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,AtL6LxErAymGvJ85h0MT||||250|5.08|6.49|8.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,6xmVZTQyLw1fF5rBAnny||||500|4.95|6.34|8.74||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,cXiJ3piH2EKlUDoQyBOm||600*50*1.1 mm|Heavy|||||TPE and Latex available|Plastic zip bag with logo available for larger quantities|Black 25lbs|MOQ is 2000 to customize the band, ink or resistance level.|Dean-Fuqing Shengde Plastic & Rubber Products Co., Ltd.||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Resistance-Bands_720x.png?v=1577933214|||
,0vh8IQMTcp56SFk5hcoP||||1|35.95|44.95|64.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,lYAh7HUCeUtpK1drDfew||||25|12.95|16.59|22.94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,6kDpiF5Lc0ki4BxyzQZT||||50|6.95|8.89|12.29||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,292UP1AuM3sfvrlmAGjM||||100|6.19|7.94|10.94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,1sYaSzmE9J8Ub7vxAAdH||||250|6.08|7.78|10.79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,KNK0Ts0AfbLa6AsES9dC||||500|5.95|7.59|10.54||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,yl9mc2t8k8jv0tNOUbes||600*50*0.35 mm|Light|||||TPE and Latex available|Plastic zip bag with logo available for larger quantities|Green is 5lbs and Blue is 10 lbs|MOQ is 2000 to customize the band, ink or resistance level.|Dean-Fuqing Shengde Plastic & Rubber Products Co., Ltd.||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Resistance-Bands_720x.png?v=1577933214|||
,4lj0oQVghNt7CkXIiLdg||||1|35.95|44.95|64.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,JGHpvUV47eZqDJOTIqvz||||25|9.95|12.74|17.64||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,NlREQkjRraRWV94Bh1KJ||||50|3.95|5.09|6.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,gWqF6eRDoWgdFS0obvcA||||100|3.19|4.09|5.65||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,CwxN41t3qQyBNJhyxyQM||||250|3.08|3.95|5.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,ez3VJixgmbYJ1J0CeNAG||||500|2.95|3.75|5.19||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,vuVyWxI24sqF3LF3lAt5|Foam Rollers|||||||Foam Rollers|Designed specifically to massage & stretch muscle & soft tissue along with relieving tight muscles|||||https://trello-attachments.s3.amazonaws.com/5d5d862c1e0d5a6d86ee7464/1080x1920/0c2b983b483118da0f89d41a2f370b89/9391A33F1EB289DDCE2FED50BA4E8A4A.jpg|||
,30ia37mViIX14vArLAWg||Hollow Roller/ Foam end|Mid Range|||||Size: 30/45/60/90cm*15cm||Black is stock. Other colors may be available. MOQ for other colors is 500. will PMS match|Eva foam & PVC Plastic|Dean||https://trello-attachments.s3.amazonaws.com/5d5d862c1e0d5a6d86ee7464/1080x1920/0c2b983b483118da0f89d41a2f370b89/9391A33F1EB289DDCE2FED50BA4E8A4A.jpg|||
,m0QY9S6USSzFl1iuMbT9||||1|44|56.39|77.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,D6tDWJ1gbgEn0un843Q5||||25|28.95|37.15|51.36||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,Q3dwbsizI0Qcoc2OLCrc||||50|24.69|31.66|43.79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,7JPVTKzH4U7RbqY2kdSF||||100|21.95|28.14|38.94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,eVqZt2XHhqhw4E5s4ycV||||250|16.95|21.73|29.95||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,J0FNGqxKAUy35y6afjuA||||500|14.59|18.69|25.89||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,PBF9CtSyQVJMjcHHJVWF||Complete Foam|Mid Range|||||||||||https://trello-attachments.s3.amazonaws.com/5d5d862c1e0d5a6d86ee7464/1080x1920/0c2b983b483118da0f89d41a2f370b89/9391A33F1EB289DDCE2FED50BA4E8A4A.jpg|||
,uIYNDh25GMMghNJOt2mo||||1|39|49|69||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,w2uLNYs7Mp10BJEHw789||||25|23.95|29.95|42.5||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,5mFRQzJltrLvXDVdLj8c||||50|21.95|18.15|38.94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,uysPVUk5rabks4zRRcg0||||100|18.49|23.69|32.79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,MoxnPpBVQFvxfQBU8CHt||||250|13.49|17.29|23.94||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,QsJhH0xpuwddUB6sTXzn||||500|11.59|14.86|20.56||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,wLjA5UjziO4KL2pQwmOR|Low End||||||||||||||||
,Y3GMiNMFBKDmLu2gls8w||Long Board. (Grip Tape, Deck, wheels, trucks, and bearings)|Mid Range||||||Complete premium Longboards. Full digitally printed complete with trucks, bearings and wheels, ready to carve your local streets. • 7 Ply Canadian Maple • Individually Cold Pressed Digitally printed, custom grip-tape available. Optional logo'd wheels.|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Wild-Dog-Grille-Longboard1-copy_720x.jpg?v=1577933172|||
,lBcDlYl1r6Fdd5DUvf33||||1|195|199|299||||||||||
,n3j8Wih8RNuXDAGRBttH||||25|135|165|249||||||||||
,9A6j7vlrZZjVZeK8811d||||50|99|145|179||||||||||
,sNw78denHVl3NeQdi3kQ||||100|84|119|149||||||||||
,aHzNJ9gg5kHO4J3x2oLu||||250|69|109|124||||||||||
,TDY55Ef3NMywNWOWf4Cv||||500|62|89|99||||||||||
,pdlzCjtzbTkNDxCtNVHz||||1000|49|64|89||||||||||
,duvqoD8DyRoVOkkDHRcR||Standard Shape. Digital Print Deck only|High End|||||Skate Deck Only (does not include any accessories)|This high standard 7 ply hardwood deck comes in a Popsicle shapes. the Deck digital printed and cold pressed provides for unlimited designs and graphics. • 7 Ply Canadian Maple • Individually Cold Pressed|||||https://cdn.shopify.com/s/files/1/0284/1529/5533/products/Disrupt-Product-Images-173_Web_720x.jpg?v=1577933183|||
,6FkVdb0SKBcnUdhbyihw||||1|59|95|119||||||||||
,tmcvvuXusDJ25UvRHLCS||||25|42|74|95||||||||||
,mbShVIfOvkG0f5ytHAK5||||50|36|64|85||||||||||
,SEJD3SUSnZ2i5cYvpjdR||||100|29|59|75||||||||||
,Hl65PNuXqAduDQvp3doc||||250|21|50|65||||||||||
,kw2ecIGYfUodalBzRAoo||||500|18|35|45||||||||||
,w93pKi0Kch1wXZJV4fGe||||1000|15|19|26||||||||||
,wMU6vdbDIlg8C5ZHxbcb|Boxing Wraps|||||||boxing hand wraps/ Wrist Protection hand wraps|||||||||
,Fr0ii5hOVzyCIyU4e9sb||Trainer Quality|High End|||||Hand Wraps made of polyester / nylon and cotton.||custom available|Velcro: 1 inch or 2 inches Velcro Strap >Size: 180” / 4.5 Meters or 100" / 120" / 140" / 160"|Mad Punch||https://trello-attachments.s3.amazonaws.com/5cbdd6346d7a0a322dc13d3d/5d51b995d767b259a1f3a12e/8d39f0f14140beb9729aa4954a989668/IMG_20190914_171743.jpg|||
,C1zs6o40sIPneNdkqjXa||||1|59|74|99||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,vN8sI5i373AZfy49yiCl||||25|8.95|10.95|15.49||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,O7fxBlm5kjgXWTUPBK46||||50|7.15|8.95|12.69||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,HC8x2sQYqlG3yMeS0lEY||||100|5.49|6.89|9.79||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,L9M966HaqG0eelAp5fgN||||250|3.95|4.95|6.39||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,6cRZXleVST4a9isoAuiq||||500|3.19|3.95|5.62||Surcharge for digital print, check artwork before confirming any digitally printed logos||||||||
,z2uRL25dOdOcfD4U8hDd|Beer Pong Tables|||||||Beer Pong Table|Take your pong game to the next level with a custom made pong table. Guaranteed to bring fun to any party or tailgate, this one of a kind table is made with a sturdy aluminum frame and folds neatly down into a suitcase-sized carrier for easy transport to and from your party destinations. The top of each table is laminated to keep your beautiful designs from fading and ensure you’ll never have to cry over spilled beer.|||||https://i.imgur.com/fJV78fM.jpg|||
